Country,Geological,Meteorological,Hydrological,Rank
Zimbabwe,67,78,237,85
Zambia,77,1,227,67
Yemen,77,84,255,86
Viet Nam,113,149,282,95
Venezuela,1,1,238,54
Vanuatu,153,1,227,82
Uzbekistan,1,1,210,47
Uruguay,1,144,209,79
United States,116,262,271,92
United Kingdom,68,133,198,80
Uganda,126,98,238,86
Turkiye,210,193,186,89
Togo,1,1,194,43
Thailand,67,129,249,82
Tanzania,120,1,213,74
Tajikistan,128,1,177,66
"Taiwan, China",102,1,202,64
Syria,1,159,193,74
Sudan,1,1,228,50
Sri Lanka,127,114,232,79
Spain,125,167,166,78
South Sudan,1,133,222,73
South Africa,1,143,183,69
Somalia,1,214,218,73
Senegal,66,49,192,64
Rwanda,120,1,169,61
Russia,1,141,171,63
Puerto Rico,105,1,165,55
Philippines,197,122,214,72
Peru,124,127,189,69
Paraguay,1,100,177,57
Papua New Guinea,139,1,165,60
Pakistan,181,127,202,68
Nigeria,1,1,197,43
Niger,1,1,187,40
Nicaragua,77,51,166,57
Netherlands,1,107,141,50
Nepal,177,99,173,63
Namibia,1,1,147,35
Myanmar,106,60,179,59
Mozambique,54,97,169,55
Mexico,132,101,169,59
Mali,1,1,136,31
Malaysia,69,1,156,44
Malawi,87,1,153,46
Madagascar,39,92,153,50
Lao PDR,40,1,137,35
Korea,61,97,112,46
Kenya,48,78,147,46
Kazakhstan,1,74,118,38
Japan,136,67,145,50
Italy,102,80,103,46
Israel,1,105,97,38
Iraq,54,87,110,43
Iran,110,84,126,44
Indonesia,127,73,131,45
India,97,94,131,44
Honduras,47,60,122,41
Haiti,118,1,114,41
Guinea,30,59,91,35
Guatemala,87,79,110,40
Greece,61,85,79,39
Ghana,1,1,99,26
Germany,1,57,85,32
Gambia,1,1,82,24
France,36,66,74,31
Fiji,24,1,84,25
Ethiopia,40,89,94,33
El Salvador,43,1,74,26
Ecuador,74,47,70,30
Dominican Republic,1,1,77,18
Dem. Rep. Congo,76,50,82,29
Dem. People's Rep. Korea,1,1,77,18
Cuba,1,1,79,18
Croatia,46,35,54,23
Costa Rica,26,35,54,22
Congo,25,1,57,20
Comoros,24,1,49,15
Colombia,44,30,64,20
China,62,60,63,21
Chile,59,39,43,20
Chad,1,26,54,17
Central African Republic,1,26,45,14
Canada,12,43,42,17
Cameroon,12,1,39,12
Cambodia,12,22,43,14
Burundi,14,25,35,13
Burkina Faso,1,1,33,9
Brazil,24,23,35,12
Bosnia and Herzegovina,1,1,26,6
Bolivia,11,15,27,10
Benin,1,14,26,8
Bangladesh,16,1,24,8
Azerbaijan,13,1,16,6
Australia,3,13,15,6
Argentina,4,7,13,5
Angola,1,7,12,4
Algeria,4,5,8,3
Albania,3,1,5,2
Afghanistan,1,2,3,1
